customer_id,signup_date,plan,contract_type,mrr,discount_pct,effective_mrr,country,industry,team_size,referral_source,logins_per_week,features_used,support_tickets_last_90d,nps_score,tenure_months,last_activity_date,churned,churn_date
CUST-00001,2024-05-10,Growth,Monthly,79.0,0.0,79.0,India,Finance,5,Referral,6.3,4,2,8,7,2024-12-11,0,
CUST-00002,2024-11-10,Pro,Annual,199.0,0.0,199.0,Other,Healthcare,10,Referral,13.1,5,3,9,1,2024-12-28,0,
CUST-00003,2022-05-02,Pro,Monthly,199.0,30.0,139.3,USA,Healthcare,2,Paid Search,11.2,3,1,7,32,2024-12-31,0,
CUST-00004,2023-04-12,Starter,Monthly,29.0,0.0,29.0,Canada,Healthcare,20,Social,4.9,3,1,7,20,2024-12-08,0,
CUST-00005,2022-11-27,Pro,Monthly,199.0,0.0,199.0,UK,Other,10,Organic,16.4,6,2,7,25,2024-12-23,0,
CUST-00006,2022-03-29,Growth,Annual,79.0,25.0,59.25,India,E-commerce,10,Email,14.6,3,2,7,33,2024-12-24,0,
CUST-00007,2024-05-21,Enterprise,Monthly,599.0,0.0,599.0,USA,SaaS,50,Organic,13.4,2,0,6,7,2024-12-24,0,
CUST-00008,2022-05-11,Growth,Monthly,79.0,0.0,79.0,USA,E-commerce,20,Paid Search,6.7,3,0,10,32,2024-12-27,0,
CUST-00009,2024-02-09,Enterprise,Annual,599.0,0.0,599.0,USA,Other,2,Email,8.7,5,0,10,10,2024-12-08,0,
CUST-00010,2022-12-10,Pro,Annual,199.0,20.0,159.2,USA,Healthcare,5,Paid Search,13.1,6,0,10,25,2024-12-28,0,
CUST-00011,2024-03-16,Starter,Annual,29.0,10.0,26.1,USA,E-commerce,20,Social,7.9,6,1,7,9,2024-12-10,0,
CUST-00012,2023-01-21,Growth,Monthly,79.0,0.0,79.0,Other,E-commerce,3,Paid Search,16.8,2,0,7,23,2024-12-08,0,
CUST-00013,2024-08-13,Enterprise,Annual,599.0,0.0,599.0,India,SaaS,10,Email,8.8,4,3,9,4,2024-12-03,0,
CUST-00014,2022-10-04,Pro,Annual,199.0,0.0,199.0,India,Finance,1,Partnership,11.7,4,2,5,27,2024-12-14,0,
CUST-00015,2023-04-05,Starter,Annual,29.0,30.0,20.3,UK,Education,20,Email,5.9,5,1,10,21,2024-12-29,0,
CUST-00016,2022-01-22,Pro,Monthly,199.0,30.0,139.3,USA,E-commerce,10,Organic,2.6,8,2,9,35,2024-12-13,0,
CUST-00017,2022-09-10,Starter,Monthly,29.0,10.0,26.1,India,Retail,20,Organic,9.1,7,1,6,3,2022-11-25,1,2022-12-09
